	dim1	dim2
1001701101_M1	-9080.699916105172	34.21170713464544
1001701101_M2	-8859.898092131205	71.98516074273005
1001701101_M3	-8666.66164905782	8.95306471529064
1001701101_M4	-8810.918562106624	98.14636528015308
1001701101_M5	-8901.552947588667	36.12855788735105
1001701101_M6	-8794.5054162191	88.85814932000564
1001701101_M7	-9194.599708758677	-315.49197107626935
1001701101_M11	-8976.801856023618	376.609048912719
1001701101_M12	-8648.283018362912	171.22646559395727
1001701101_M14	-8894.738588494596	443.8308415508204
1001701101_M17	-9176.987532090983	-308.45988512059773
1001701101_M18	-8917.136805061364	314.19992958902026
1001701101_M20	-8706.815213698577	-38.73007060799863
1001701101_N1	-8920.5773509871	-106.87716925498175
1001701101_N2	-8862.504109315254	6.925284112353412
1001701101_N4	-9198.666079223376	-142.58855205301424
1001701101_N6	-9018.220861228025	-534.2229630215024
1001701101_N7	-9157.600280343137	-203.43900116641197
1001701101_N10	-9253.618947515204	346.045167600136
1001701101_N13	-8871.956887379903	-85.11955961609436
1001701101_N16	-8972.847808462442	617.9164275463493
1001701101_N20	-9099.204949737868	211.12626269211896
1001701101_O1	-9106.322284354837	-88.51504113189054
1001701101_O22	-9001.706933149055	22.928073685405696
1001701101_P2	-9192.809807561784	-177.49534681374894
1001701101_P3	-8708.920483833892	5.876648812948436
1001701101_P4	-9065.0160665503	-333.28920360034317
1001701101_P5	-8913.39045194845	-496.84840790328775
1001701101_P6	-9032.924548314766	-196.51944317624654
1001701101_P7	-9250.8234192091	273.5268880626727
1001701101_P10	-9094.549984452971	437.61813261342485
1001701101_P16	-9035.674884554133	437.54243946107647
1001701101_P20	-8834.81827169458	-431.5124270787116
1001701103_A1	-8758.853320307473	-673.0066173432547
1001701103_A2	-8408.096118129879	-809.3576758634828
1001701103_A3	-7914.3190392331135	-650.2950894392645
1001701103_A4	-8333.528441372151	-535.0882405270846
1001701103_A5	-8384.183494536503	-697.3845566880904
1001701103_A6	-7998.49215287456	-593.8146793861241
1001701103_A7	-8513.796111028592	-772.180339428524
1001701103_A8	-8405.970736507512	-650.2244308404606
1001701103_A9	-8190.8315644232425	-794.5321922424134
1001701103_A10	-8348.700990928935	-673.1454599236913
1001701103_A11	-8479.984818768136	-795.8816573775424
1001701103_A12	-8678.116018045079	-19.801172482644596
1001701103_A15	-8773.144980784318	-406.892346749813
1001701103_A18	-8787.379773943461	-380.35313666266717
1001701103_A19	-8698.711303660992	-182.01031825297144
1001701103_A20	-8724.030580340985	-294.2646289484774
1001701103_A21	-8654.626779832937	-597.3304651470913
1001701103_A22	-8868.80618106659	-383.6001860613555
1001701103_A23	-8890.055539933468	-527.3563277238995
1001701103_B1	-7928.559967162406	-708.1019985129599
1001701103_B2	-8128.076932740812	-569.7139164904453
1001701103_B3	-8614.97792555293	-867.2098526139858
1001701103_B4	-8212.278015552993	-563.6504847872577
1001701103_B5	-8016.35783043392	-636.9672581085936
1001701103_B6	-7832.555844088705	-825.0853068221287
1001701103_B7	-8285.346725925318	-789.6983220350272
1001701103_B8	-8049.800060910233	-577.025464288604
1001701103_B9	-8040.230267688612	-966.8082308562706
1001701103_B10	-8603.01101884848	-697.6737214720847
1001701103_B11	-8099.253231978009	-623.5056152140983
1001701103_B12	-9057.607763611273	-420.05272798890775
1001701103_B13	-8708.571135174052	-326.8982292131576
1001701103_B14	-8847.027650995364	-447.0581204947938
1001701103_B15	-8455.961272365908	-176.04513276277763
1001701103_B16	-8818.48641317812	-276.2460186538597
1001701103_B19	-8950.501977492098	-558.6504860498471
1001701103_B20	-8840.451701451966	-359.261886325961
1001701103_B21	-8730.566685859596	-209.12035033411496
1001701103_B22	-8439.550996801843	-132.35730976708376
1001701103_C1	-7834.375238292305	-761.9793084945105
1001701103_C2	-8870.12096269073	-651.7738826233291
1001701103_C3	-8304.125854240336	-643.8134444887794
1001701103_C4	-8610.43474687117	-803.6055693064674
1001701103_C5	-8123.284617097764	-604.1964361056316
1001701103_C6	-8227.296966801017	-399.5111013428904
1001701103_C7	-8077.621538776052	-767.1834712259196
1001701103_C8	-8071.465870112548	-589.3262514063738
1001701103_C10	-8038.780584577986	-867.6732385166416
1001701103_C11	-7925.706775830967	-720.2668617333106
1001701103_C12	-8607.909966634874	-329.4446916264061
1001701103_C13	-8658.73613075796	-184.93741307041617
1001701103_C14	-8859.886318720828	-364.45102827142154
1001701103_C15	-8362.526451492833	173.9281802462175
1001701103_C16	-8594.299361209602	88.3186746191339
1001701103_C18	-8772.399440596506	-514.3728795233214
1001701103_C19	-8784.795488173291	-580.368117536946
1001701103_C20	-8899.476462672108	-575.855357912611
1001701103_C21	-9064.628907217944	-240.74166177770522
1001701103_C22	-8619.139364170207	-415.5831015441269
1001701103_C23	-8719.16631546992	-295.73982587161487
1001701103_D1	-8526.230237124175	-636.0773886936606
1001701103_D2	-8178.375004444779	-746.9831010816702
1001701103_D3	-8191.838352723354	-745.8284430398024
1001701103_D4	-7975.331267677053	-590.2143805573055
1001701103_D5	-8582.833498109438	-741.307031227039
1001701103_D6	-7803.814926694929	-524.9720467362055
1001701103_D7	-8709.354619953707	-365.6153784498342
1001701103_D8	-7984.526849213954	-672.2333370147942
1001701103_D9	-8377.353362943895	-713.0313155572238
1001701103_D10	-7953.690350106165	-728.6980332665217
1001701103_D11	-8202.606545517987	-714.8278283629314
1001701103_D12	-9093.15062570288	-289.9853321490515
1001701103_D13	-8482.195831988443	-461.25111945120307
1001701103_D14	-8830.576421845233	-633.145256567548
1001701103_D15	-8504.583804583337	-188.79263025232274
1001701103_D16	-8465.058386094273	-582.5804867301623
1001701103_D18	-8577.243427505571	-507.73416341474916
1001701103_D20	-8768.42232981376	-358.0494010298892
1001701103_D21	-8518.367241403188	97.42081200809726
1001701103_E1	-8165.25726099904	-678.1332505469678
1001701103_E2	-8135.602759198392	-716.2034371101497
1001701103_E3	-8376.984925409675	-773.2901465613859
1001701103_E4	-8076.73599566566	-678.1691776022448
1001701103_E5	-7983.728376345235	-892.7437209368352
1001701103_E6	-7929.174097348479	-530.1198455718128
1001701103_E7	-8096.97999087615	-454.412988912334
1001701103_E8	-8676.052629696389	-771.6157448818343
1001701103_E9	-8511.487053642908	-750.5760333951146
1001701103_E10	-8250.029084157153	-532.9037658395929
1001701103_E11	-8073.027704592331	-633.9132057540487
1001701103_E12	-8844.191841956526	-276.1124419961049
1001701103_E16	-8566.257028292426	-591.3379398814651
1001701103_E18	-8705.184554562986	-616.4249249065308
1001701103_E20	-8783.245643248418	-488.148191618332
1001701103_E22	-8594.432605507684	-267.48675183152267
1001701103_E23	-8555.591935143164	-198.62454426731705
1001701103_F1	-8570.57528174891	-754.3802490238597
1001701103_F2	-8147.692015274922	-611.4744057904765
1001701103_F3	-8105.109917559768	-610.505390253334
1001701103_F4	-8309.47363810619	-610.8877485151061
1001701103_F5	-8136.508876813803	-901.0526889117973
1001701103_F6	-7993.789538658167	-458.5941507712762
1001701103_F7	-8012.230566207966	-576.2676533661288
1001701103_F8	-7817.501402824629	-782.3312821875442
1001701103_F9	-8508.255789711988	-654.8066813056085
1001701103_F10	-7935.51641364122	-677.2050598707202
1001701103_F11	-8040.375118504844	-740.1434906064383
1001701103_F13	-8603.677288021507	-337.6765510458154
1001701103_F14	-8686.13657128932	-540.9681240498335
1001701103_F15	-8711.274525223062	270.9973250404258
1001701103_F16	-8666.427738243345	-394.6078384707917
1001701103_F17	-8655.180214547672	-495.80880116035723
1001701103_F18	-8914.344890657037	-542.8702569912402
1001701103_F19	-8777.76181474035	-297.85735268907456
1001701103_F20	-8382.315176765043	-376.73154512857485
1001701103_F22	-8855.242940932407	-497.8662560825933
1001701103_G1	-8270.237555285818	-661.4726915412842
1001701103_G2	-8089.206471500631	-549.4012213579759
1001701103_G3	-8342.35571088334	-368.1437807170633
1001701103_G4	-7934.383284839436	-449.70048150934315
1001701103_G5	-8059.785174374089	-659.9110652899454
1001701103_G6	-8082.723118019119	-785.41729133693
1001701103_G7	-8284.916722613634	-276.89146198022866
1001701103_G9	-8067.149279229146	-697.9282231582623
1001701103_G10	-8114.718413203777	-800.0950399330154
1001701103_G11	-8519.297618482517	-850.2890985055859
1001701103_G13	-8804.327592477031	-674.5005529730607
1001701103_G14	-8716.390758778465	-326.11788112669063
1001701103_G18	-8901.683758656378	-136.31602693945868
1001701103_G19	-8747.008100610294	-705.5222457634818
1001701103_G20	-8781.190969065225	-151.5951924833742
1001701103_G22	-8947.711380931123	-585.208310163242
1001701103_G23	-8913.658081124899	-276.67980845632445
1001701103_H1	-8566.274138174665	-655.5377038461187
1001701103_H2	-7942.358525528206	-773.5155754888416
1001701103_H3	-8392.841294558953	-685.8983806518806
1001701103_H4	-8079.806683611337	-888.0103991233347
1001701103_H5	-8038.952078938061	-833.7112393236239
1001701103_H6	-7969.626855879902	-770.3529538118473
1001701103_H7	-8258.625582201466	-518.4419272250353
1001701103_H8	-8115.545942117748	-404.81153105598924
1001701103_H9	-8074.402729356262	-419.8957464568776
1001701103_H10	-8375.432951783874	-503.46358814365914
1001701103_H11	-8276.804789689766	-769.9228202363495
1001701103_H12	-8653.232595514983	-157.05760357055635
1001701103_H13	-8788.740938517989	-623.0683194377041
1001701103_H14	-8825.787397434511	-387.14837151182303
1001701103_H17	-8779.531016937999	-326.78380877111044
1001701103_H18	-8781.329139216736	-290.234560181883
1001701103_H19	-8700.915537283461	-556.0100995970326
1001701103_H23	-8669.798602258616	-610.4776435169906
1001701103_I1	-8325.52501850374	-657.6612346737704
1001701103_I2	-8042.56745827817	-667.9166959216833
1001701103_I3	-8272.01557911627	-557.7601544212903
1001701103_I4	-8140.375005243184	-810.8395189203354
1001701103_I5	-8043.033516002367	-726.4552679523208
1001701103_I6	-8285.120928540004	-496.882642874708
1001701103_I7	-8282.002495077155	-717.4583978146414
1001701103_I8	-7914.592310567769	-591.2261175049906
1001701103_I9	-8264.822388054808	-606.5264359168734
1001701103_I10	-8173.910767015171	-906.6003702998954
1001701103_I11	-7932.677868583359	-789.1671671684039
1001701103_I12	-8806.028673903164	-600.723955157527
1001701103_I14	-8672.614172589998	-557.1061909267654
1001701103_I15	-8199.355462370644	-349.10863350910614
1001701103_I16	-8740.809732131382	-611.0928882288972
1001701103_I17	-8808.783254192973	-364.00203061611563
1001701103_I18	-8725.114114043252	-444.75572512175347
1001701103_I21	-8936.373074337807	-495.4922506699375
1001701103_J1	-8216.18963220369	-750.1312788762917
1001701103_J2	-8237.950329638514	-743.0801723833627
1001701103_J3	-8373.795452605531	-857.1526765460471
1001701103_J4	-8192.821653066303	-624.5355257622629
1001701103_J5	-8102.816135822218	-578.3590702001268
1001701103_J6	-8031.245278718367	-876.239504395787
1001701103_J7	-7923.428439412554	-639.1015810439329
1001701103_J8	-7895.973650176202	-648.9337485713562
1001701103_J9	-7899.82053805515	-517.8745422114526
1001701103_J10	-8003.091671108883	-688.7763417199449
1001701103_J11	-7957.995122403328	-780.0493946100394
1001701103_J12	-8656.323192756925	132.2953862733462
1001701103_J13	-9017.447102794238	-436.3670484289886
1001701103_J15	-8518.466406817273	-303.1905097824367
1001701103_J17	-8666.253914474593	-493.9105696083925
1001701103_J20	-8850.269414940309	-132.42860529427256
1001701103_J21	-8898.334926919715	-750.6718766697086
1001701103_J23	-9024.55663698461	-303.0932206711356
1001701103_K1	-8180.536335808223	-712.8779491651584
1001701103_K2	-8253.731473551792	-962.4922656467014
1001701103_K3	-8106.6393909603285	-928.7976269509691
1001701103_K4	-8506.414418101598	-575.2023058465312
1001701103_K5	-8363.520808642716	-836.7283230624619
1001701103_K7	-8082.8572087976545	-512.7222887770722
1001701103_K8	-8185.839221920581	-576.4773899317559
1001701103_K9	-7903.976926149642	-838.6980284739411
1001701103_K10	-8036.595711535047	-457.75211703814324
1001701103_K12	-8738.514086178091	-110.58130174198477
1001701103_K13	-8294.200909348336	-218.02602394748882
1001701103_K16	-8749.590048860757	-413.08918204378097
1001701103_K17	-8272.022980237081	-405.2826439540526
1001701103_K19	-8902.652365887605	-459.899006040293
1001701103_K20	-8607.601343028555	-422.63711871231425
1001701103_K21	-8664.096548135649	50.355022689073124
1001701103_K22	-8850.90964732119	50.93715212313584
1001701103_K23	-8726.854539019309	-550.098086635082
1001701103_L1	-8356.557181476763	-431.15702967332527
1001701103_L2	-8349.845842844132	-853.319808990578
1001701103_L3	-8119.661089624374	-595.2278236434908
1001701103_L4	-8305.787251616104	-626.6772382177702
1001701103_L5	-8147.01907471359	-844.9930287793937
1001701103_L6	-8205.245582486856	-615.5624372929365
1001701103_L7	-8344.457967474711	-501.82359185617923
1001701103_L8	-8354.689248363786	-568.484841531991
1001701103_L9	-8730.989102771713	-377.713963744661
1001701103_L10	-8118.630619695588	-713.6665732928925
1001701103_L11	-8126.023679214755	-767.9277947940791
1001701103_L12	-8567.450688648885	-162.34929957626224
1001701103_L14	-8542.842304244088	-569.509528662437
1001701103_L16	-8956.293845634285	-480.3301797209835
1001701103_L18	-8488.604472963078	4.825448068068433
1001701103_L21	-8831.053290123878	-251.02301521095663
1001701103_L23	-8608.47465304381	-635.2175452294692
1001701103_M1	-8547.998091090814	-567.7883629980378
1001701103_M2	-7982.596842049768	-487.6576596318226
1001701103_M3	-8096.559104521279	-821.8544271601445
1001701103_M4	-8170.197371190561	-872.8112645605357
1001701103_M5	-9009.703912447192	-697.3539255987097
1001701103_M6	-8290.39196220438	-483.0442153746995
1001701103_M7	-7885.738584290717	-689.8724464553835
1001701103_M8	-8653.636299560976	-736.3016952826068
1001701103_M9	-7978.9945167998785	-579.1594059952594
1001701103_M10	-8216.629499576778	-757.8680330088022
1001701103_M11	-8275.313809831034	-872.7036129885314
1001701103_M12	-8595.970633685993	-255.59580199023594
1001701103_M13	-8752.619964088764	-572.2083328999828
1001701103_M17	-8711.861430152483	-114.45341206853229
1001701103_M20	-8818.059955750778	-420.43896425847674
1001701103_M23	-8547.117358485893	-313.0792610224573
1001701103_N1	-8024.2420089575735	-674.7889821258913
1001701103_N2	-8024.435547862951	-757.7417466212419
1001701103_N3	-8328.430007959587	-504.24006571898616
1001701103_N4	-8319.29750111437	-384.85032337942863
1001701103_N5	-8129.526553554131	-533.4070162028303
1001701103_N6	-8198.859090553397	-561.3069895305024
1001701103_N7	-8186.226622980064	-598.0724179139099
1001701103_N8	-8060.579086719294	-540.2169763722741
1001701103_N9	-8457.412495257382	-398.85415011455206
1001701103_N10	-7805.441062010973	-631.7109977863557
1001701103_N14	-8516.12537262819	-494.8764855930348
1001701103_N16	-8225.171793621395	-110.8415095096775
1001701103_N18	-8864.123209959833	-492.15349603978945
1001701103_N20	-8711.771028429835	-155.8819911948242
1001701103_N22	-7886.11355017177	255.60011121219182
1001701103_O1	-8635.63926129947	-674.0099258031216
1001701103_O2	-7950.330268675105	-676.2955078090534
1001701103_O3	-8430.48005538853	-870.845486584496
1001701103_O4	-8217.201496295005	-395.1243751237493
1001701103_O5	-7946.979011943497	-901.8325190048224
1001701103_O6	-8147.196534872237	-721.0761405644351
1001701103_O7	-8187.801726054232	-727.6261357369124
1001701103_O8	-8009.446114314744	-643.3524640356791
1001701103_O9	-8192.126574489435	-577.8885143574445
1001701103_O10	-8182.208165997412	-564.3127878596135
1001701103_O11	-8009.772429989072	-534.9918596094755
1001701103_O14	-8581.168990183429	-119.59195517375562
1001701103_O15	-8685.582830160083	-428.02013761450297
1001701103_O17	-8859.426595586674	-476.36509956228406
1001701103_O18	-8326.675254572896	-274.72537087011574
1001701103_O20	-7993.479991119788	-26.425744093070985
1001701103_O23	-8649.921424491557	-141.32922890488732
1001701103_P1	-8431.037209869999	-602.8418805290801
1001701103_P2	-8426.443542566956	-761.5667620958673
1001701103_P4	-7922.82803414199	-679.5171283492982
1001701103_P5	-8012.115035400533	-542.8082785069748
1001701103_P6	-8468.192768485256	-519.6725725379822
1001701103_P7	-8671.706731973307	-695.752015239046
1001701103_P8	-8575.380649052722	-899.0969498044576
1001701103_P9	-8512.845710409705	-794.2138428730726
1001701103_P10	-8734.48956093597	-827.720721509232
1001701103_P14	-8749.704868866014	-327.9812991179059
1001701103_P17	-8851.067579967417	-383.74127602527517
1001701103_P20	-7863.182022394782	-329.7019325333126
1001701105_B21	-8739.709336283742	-495.8374989903476
1001701105_C1	-8285.847304916408	-745.1328675383824
1001701105_C2	-8902.252611537784	-108.80435297847517
1001701105_C5	-8983.239130952685	-19.168102332832277
1001701105_C12	-8516.369412785582	-362.60461274115744
1001701105_C13	-8891.159398032061	-389.38980351603936
1001701105_C14	-8867.16750700603	-332.39319207465445
1001701105_C15	-8886.19256137073	-483.8271760566715
1001701105_C16	-8790.84762467895	-232.26814923920452
1001701105_C18	-8685.925699611173	-399.5059187159528
1001701105_C19	-8684.290339265326	-532.289496630111
1001701105_C20	-8703.483113298415	-260.9163677670546
1001701105_C21	-8509.262139724391	-59.35768876016906
1001701105_C23	-9297.464328440032	73.15078967018664
1001701105_D2	-8951.084796848016	285.93511685159564
1001701105_D3	-9025.079160495032	-504.8082523030626
1001701105_D5	-8415.977807924171	-237.78722923857904
1001701105_D6	-8412.56792728685	-537.5549174516533
1001701105_D8	-8727.968173373803	-86.11169104955945
1001701105_D9	-9146.479671502946	106.61722359859371
1001701105_D12	-8696.471441467746	-323.4389281223313
1001701105_D13	-8679.31928404236	-664.6220109242929
1001701105_D14	-8694.026521979682	-377.7171207340405
1001701105_D15	-8671.096816021465	-145.88136118685142
1001701105_D16	-8829.7387326198	-279.54848654007367
1001701105_D17	-8648.209661206562	-572.2890885278023
1001701105_D18	-8963.939531859474	-366.7411815119283
1001701105_D19	-8796.755616080718	-389.80191875056005
1001701105_D20	-8692.777883624607	-494.80766566579643
1001701105_D21	-8843.827877634212	-217.82260652317004
1001701105_D22	-8578.779126848181	-320.508729403953
1001701105_D23	-8862.866473659624	-458.5419754646374
