	dimension 1	dimension 2
1001701301_B9	-3.7920704	-7.2217546
1001701301_B10	-8.434821	-15.701564
1001701301_B15	6.850505	11.354025
1001701301_C15	-8.548512	1.2758145
1001701301_D11	3.726141	-15.282717
1001701301_D12	-3.4861465	-8.819997
1001701301_D16	-9.784618	-2.431018
1001701301_D21	10.539912	7.2537446
1001701301_E11	0.3351853	-2.393911
1001701301_E14	3.8887794	-15.331908
1001701301_E15	-2.054629	4.663251
1001701301_E16	-5.9410377	-4.9569893
1001701301_F4	7.702729	7.752303
1001701301_F10	-3.9631727	-7.6227565
1001701301_F13	0.6414026	-8.638156
1001701301_F17	-7.6779633	-6.9702115
1001701301_F19	1.4497416	-7.951638
1001701301_G22	5.0574975	3.4213629
1001701301_H12	8.106814	6.926469
1001701301_H13	7.6948895	-0.5833134
1001701301_I1	11.10179	-11.577066
1001701301_I3	-7.391343	-5.7793164
1001701301_I12	0.94955564	-2.5845966
1001701301_I16	-10.221873	-8.923945
1001701301_I17	-5.4495735	-15.387035
1001701301_I18	3.5373068	-14.281325
1001701301_J13	-1.7813554	-3.4775617
1001701301_J23	6.671431	-10.740851
1001701301_K10	13.798141	6.722314
1001701301_K13	14.287858	2.714493
1001701301_K15	-3.989428	-4.808941
1001701301_K22	9.391281	2.9749825
1001701301_L9	-5.726044	-3.4981906
1001701301_L11	14.173544	7.1464133
1001701301_L15	8.850412	12.164737
1001701301_L18	-3.3978553	-4.51573
1001701301_L21	5.6247187	6.5712457
1001701301_M2	2.3472128	-7.2828355
1001701301_M11	3.4329648	-15.278288
1001701301_M14	-5.69241	-2.8076603
1001701301_N10	-2.7776659	-7.7545094
1001701301_N13	-5.834494	6.6989045
1001701301_O9	-2.9801736	-13.199001
1001701301_O12	-2.7932131	3.3655403
1001701301_O14	-5.582075	-0.49435854
1001701301_P11	8.625625	10.626552
1001701301_P16	-9.328512	-7.456445
1001701303_B22	9.231598	10.044745
1001701303_D15	13.214745	-8.269948
1001701303_I19	12.330004	-10.109992
1001701303_J16	11.806117	-9.6168995
1001701303_J20	9.625142	12.398224
1001701303_P18	13.880179	-8.89327
1001701305_C5	10.091192	0.7339874
1001701305_C9	-7.2123194	-4.8172445
1001701305_D12	13.886616	-8.327654
1001701305_E9	11.893397	1.6306388
1001701305_G16	14.678746	-9.905775
1001701305_J14	14.097689	-10.151086
1001701305_K21	12.988477	-10.659313
1001701305_M10	-4.6668086	-12.359502
1001701401_A11	2.568351	16.857498
1001701401_A12	-5.8609614	0.316504
1001701401_A14	6.9361377	9.338938
1001701401_B10	-7.550261	-4.2403865
1001701401_B11	7.7015676	12.66075
1001701401_B14	5.6743336	6.6245575
1001701401_B15	2.5896647	-6.1411796
1001701401_B19	-14.286181	-7.6781325
1001701401_E6	0.7886767	-7.3735933
1001701401_E9	6.9980683	4.6106367
1001701401_E10	-0.7992611	7.576632
1001701401_E23	1.2234695	-7.894811
1001701401_F3	-7.628764	12.506396
1001701401_F12	7.9754024	8.363859
1001701401_F14	4.3425517	14.472899
1001701401_F15	5.6708474	13.654276
1001701401_G5	10.677162	0.9901268
1001701401_G8	-1.6542001	-8.1586275
1001701401_G16	-4.823995	12.166228
1001701401_H14	-2.8771794	-2.1925075
1001701401_H15	-7.180815	-1.742385
1001701401_H16	7.7356267	11.642687
1001701401_I3	5.871443	-1.6402276
1001701401_I11	-4.630334	11.693122
1001701401_I15	-0.32851905	12.561406
1001701401_I16	0.487551	-7.2596526
1001701401_J10	7.3864326	12.957747
1001701401_K7	3.2814507	-15.985018
1001701401_K9	-1.9396086	13.674618
1001701401_K10	-1.5681452	7.1751056
1001701401_K12	7.522256	10.424405
1001701401_K14	-4.1317325	-7.472801
1001701401_K15	-1.0458493	-9.284993
1001701401_L8	-3.286024	-4.9943085
1001701401_L10	-9.871728	0.028769694
1001701401_M13	-12.59925	-2.7811928
1001701401_M15	2.710004	13.936118
1001701401_M17	-6.218757	8.851992
1001701401_N16	-3.7161238	-8.106194
1001701401_O9	3.6186895	3.0559042
1001701401_O12	4.327375	15.928403
1001701401_O14	1.5430993	-6.4228954
1001701401_O17	7.4445477	-7.0716505
1001701401_P12	-3.3448286	-9.224673
1001701401_P15	-14.888863	-8.605992
1001701403_B12	12.802606	-8.903629
1001701403_D22	11.377715	-6.8538074
1001701403_G14	2.5574832	1.6831603
1001701403_H14	-0.5420581	12.809833
1001701403_H18	1.1445875	12.461452
1001701403_I13	3.364397	-7.7930117
1001701403_L18	9.8319645	-10.28765
1001701403_P21	8.391538	2.1936567
1001701405_A7	-1.0937384	5.9329414
1001701405_E23	12.819979	-8.866192
1001701405_F8	1.5517972	-14.50391
1001701405_H9	-2.8667245	6.0745087
1001701405_I12	12.760345	-8.803294
1001701405_J11	7.6997595	6.1545143
1001701405_M7	2.2055137	-9.229271
1001701405_N3	2.8337202	2.462679
1001701501_A10	6.435188	8.030086
1001701501_A11	2.0046449	3.2561533
1001701501_A12	-5.7286034	7.9345584
1001701501_A13	7.4006157	6.3943243
1001701501_A14	-0.24390006	14.8471575
1001701501_B13	-4.3211703	7.6353188
1001701501_B14	5.730002	4.130591
1001701501_B16	-0.7900565	11.441206
1001701501_B20	13.852348	10.339644
1001701501_C9	9.507274	12.656891
1001701501_C12	-12.232548	-6.5254726
1001701501_C14	-11.24231	11.593933
1001701501_C21	5.855151	6.2886906
1001701501_D9	12.708502	5.0861053
1001701501_D11	-1.5360732	-15.901062
1001701501_D15	2.7291503	16.024778
1001701501_D22	8.271637	8.678922
1001701501_E9	-7.4679484	-3.2254097
1001701501_E10	-10.679798	-5.621088
1001701501_E14	2.5237494	8.73207
1001701501_E15	-2.0006979	4.2301555
1001701501_E16	4.733728	-12.606116
1001701501_E19	13.476719	7.1694636
1001701501_F10	3.4989948	15.412815
1001701501_F12	-0.776684	1.4376123
1001701501_F14	1.9248337	11.570559
1001701501_F15	12.413287	11.877115
1001701501_F23	-4.0446534	3.2676673
1001701501_G10	3.6981416	10.817705
1001701501_G14	-6.463185	6.0189967
1001701501_G18	2.183445	-10.816353
1001701501_H9	10.949212	1.027763
1001701501_H13	9.128422	10.11097
1001701501_H14	-10.907346	9.491225
1001701501_H15	10.936798	3.7881265
1001701501_H16	-2.6549237	5.412017
