	dimension 1	dimension 2
1001701105_E1	3.221814	0.9434267
1001701105_E4	0.9541711	4.679869
1001701105_E5	-20.426285	2.1849732
1001701105_E6	18.723536	0.09561644
1001701105_E7	8.266475	0.13644432
1001701105_E9	-1.7584473	-7.4819474
1001701105_F4	24.151917	0.08106521
1001701105_F5	-15.75132	15.705002
1001701105_F6	4.2503986	2.800691
1001701105_G4	23.179428	6.724199
1001701105_G11	0.06992023	4.4703336
1001701105_H1	-6.359002	-4.11968
1001701105_H3	15.101474	6.2250314
1001701105_H4	-1.5255013	3.18184
1001701105_I4	-22.383871	1.1265
1001701105_I7	-4.508708	-6.3678017
1001701105_J3	-7.8864727	-8.755728
1001701105_J4	15.916688	5.053298
1001701105_J5	10.788916	-3.5525937
1001701105_J6	-6.9056115	0.9926124
1001701105_J11	-5.580541	-3.4827425
1001701105_K1	1.3105786	-15.484187
1001701105_K3	16.27663	2.2385826
1001701105_K8	14.98463	-13.112865
1001701105_K9	15.794091	2.3901832
1001701105_L1	-1.2815048	-8.759104
1001701105_L3	2.5853503	1.9910847
1001701105_L7	11.457049	-7.7966013
1001701105_L10	-5.9247165	-16.84382
1001701105_M4	3.6221242	-14.500104
1001701105_M6	8.188543	0.30380177
1001701105_N2	-0.3538525	-1.7049217
1001701105_N4	-21.36641	-7.913389
1001701105_N7	0.4137429	5.6262484
1001701105_N8	-11.442611	-8.252222
1001701105_O10	7.4744563	-1.8250854
1001701105_P2	0.27414215	-2.6026192
1001701105_P9	-0.7683317	-0.16420618
1001701201_A1	17.062023	3.0451875
1001701201_A2	-15.758037	8.455522
1001701201_A3	-6.5938606	6.7014656
1001701201_A4	2.0384974	13.349669
1001701201_A7	-15.680101	-1.9535747
1001701201_A20	-3.3590791	16.000586
1001701201_B1	10.70571	-11.078813
1001701201_B2	-1.7351556	-2.2640207
1001701201_B3	5.690562	14.991089
1001701201_B4	-15.659204	14.628276
1001701201_B5	1.3164375	0.14099778
1001701201_B6	-4.8872547	4.8592124
1001701201_B7	-0.7150984	14.886655
1001701201_B8	-2.5270975	8.1254835
1001701201_B18	-19.977064	-6.5742464
1001701201_B23	-14.119631	-9.3012705
1001701201_C1	6.489671	3.7769926
1001701201_C2	14.285097	-5.770332
1001701201_C4	0.0006829029	11.484203
1001701201_C6	-8.090512	10.458201
1001701201_C7	-18.680946	-1.2807592
1001701201_C8	0.6523503	1.5280424
1001701201_C16	-28.732315	-2.8155675
1001701201_C17	-4.035913	4.1733136
1001701201_C19	-24.83185	-5.57442
1001701201_C22	-4.884721	4.9787297
1001701201_C23	-15.765202	8.664728
1001701201_D2	-4.5881543	2.3501446
1001701201_D3	-2.1560702	9.400591
1001701201_D4	-4.466922	8.186024
1001701201_D5	-25.91869	3.5035176
1001701201_D17	-15.934746	11.217279
1001701201_D18	-9.024761	6.000573
1001701201_D22	-15.455834	15.879425
1001701201_D23	-5.0004587	-13.113993
1001701201_E1	19.151546	4.526589
1001701201_E2	20.73178	4.5438576
1001701201_E3	8.364006	-6.809428
1001701201_E4	3.992574	-0.15004586
1001701201_E5	0.64837134	6.425358
1001701201_E6	20.22565	-0.5817605
1001701201_E7	7.934164	-9.580452
1001701201_E8	-2.6895738	-16.826576
1001701201_E18	-25.813072	-4.754761
1001701201_E20	-2.4929838	9.528826
1001701201_E22	-2.5869718	0.48588443
1001701201_E23	-4.2843046	-9.404631
1001701201_F1	-2.4652843	-16.915007
1001701201_F2	13.715453	9.612219
1001701201_F3	-3.1877282	13.500322
1001701201_F4	-13.577741	1.6204189
1001701201_F5	2.167887	13.639596
1001701201_F6	-6.9395146	-11.793791
1001701201_F7	-5.6281905	-17.9653
1001701201_F8	7.336313	-1.2272682
1001701201_F18	-25.23013	-3.370167
1001701201_F22	-12.4153	5.6986175
1001701201_G1	-11.141034	13.590212
1001701201_G2	-10.297679	-8.454758
1001701201_G3	18.533749	-5.408679
1001701201_G5	-7.9440284	6.8678803
1001701201_G6	-8.445172	11.0038
1001701201_G7	-1.0926108	-2.9355059
1001701201_G17	-29.618732	-3.5981855
1001701201_G20	-14.302064	6.0544543
1001701201_G21	-12.902436	14.084005
1001701201_G22	-20.370173	-6.0071383
1001701201_G23	-22.96658	-1.2519414
1001701201_H1	-1.6427135	-1.1756437
1001701201_H4	-3.4026175	2.361738
1001701201_H5	-0.16876385	-13.196715
1001701201_H6	15.233612	-13.004698
1001701201_H7	-14.794914	-3.1825445
1001701201_H18	-5.9458833	-7.681951
1001701201_H19	-16.542252	1.5346222
1001701201_H20	-21.706984	6.9524827
1001701201_H21	-16.458832	15.564931
1001701201_H22	-5.3397403	6.5860095
1001701201_I1	-11.966327	-0.5568855
1001701201_I3	0.7687191	15.158611
1001701201_I6	0.5289976	-1.3371333
1001701201_I19	-16.218327	9.86197
1001701201_I21	-12.550817	10.470088
1001701201_I23	-10.861378	2.4442694
1001701201_J2	8.899716	-14.985156
1001701201_J3	17.062965	4.336307
1001701201_J5	-3.0932612	17.126009
1001701201_J8	0.14102744	-14.5569105
1001701201_J18	-8.993446	-7.064898
1001701201_J19	-25.382729	-1.5855396
1001701201_J20	-1.2280335	-0.4137584
1001701201_J21	-6.1666055	11.939375
1001701201_J23	-5.0424476	5.339558
1001701201_K1	-0.62300885	-8.108422
1001701201_K3	-21.460638	-1.2720525
1001701201_K4	-2.72953	-3.1766202
1001701201_K5	-25.118237	-7.9642153
1001701201_K7	22.972599	-8.460442
1001701201_K18	-24.149939	-4.44315
1001701201_K19	12.55409	5.9420323
1001701201_K20	-13.502531	1.6773953
1001701201_K23	16.44505	11.362678
1001701201_L1	-0.011087497	-1.9130954
1001701201_L2	11.277962	-16.88883
1001701201_L3	3.7675738	-6.951354
1001701201_L5	-10.053317	-8.314009
1001701201_L6	-13.666431	-7.4088435
1001701201_L8	22.434004	-12.432659
1001701201_L17	-18.341051	-0.69782656
1001701201_L18	0.707763	11.916425
1001701201_L19	1.6259439	17.137724
1001701201_L20	1.5977944	12.486381
1001701201_M1	-0.9035442	9.06929
1001701201_M2	-20.726803	-4.454137
1001701201_M3	15.290318	3.8057995
1001701201_M4	0.15652512	-9.730274
1001701201_M5	14.279457	-3.8959193
1001701201_M6	0.36343724	0.5170697
1001701201_M18	-25.249535	-6.4368777
1001701201_M21	-7.0481753	9.357808
1001701201_M22	-21.583767	-6.3761616
1001701201_M23	-14.478722	7.446004
1001701201_N1	-6.0914264	-9.323993
1001701201_N2	6.6738396	-1.4408703
1001701201_N3	-2.9617438	-0.55528915
1001701201_N5	4.538535	-11.308335
1001701201_N6	3.173438	12.195027
1001701201_N7	-0.12857203	-19.414965
1001701201_N8	5.376986	2.045346
1001701201_N17	-3.1560066	3.918502
1001701201_N19	-22.515787	8.365956
1001701201_N20	-21.464882	-8.002629
1001701201_N23	-6.4492426	1.528482
1001701201_O1	0.8739859	0.39419252
1001701201_O2	-8.052109	2.1240728
1001701201_O3	-1.8704602	-15.492564
1001701201_O4	-8.6156845	-5.7564383
1001701201_O5	-8.496368	1.9686857
1001701201_O7	8.849607	16.464428
1001701201_O8	5.3033633	6.6998734
1001701201_O19	2.166304	11.248093
1001701201_O22	-26.65324	-4.741503
1001701201_P2	6.016173	16.90305
1001701201_P3	18.351322	-0.49813217
1001701201_P4	-5.9619765	-16.878925
1001701201_P5	-8.8298235	9.456841
1001701201_P6	13.521652	-11.839911
1001701201_P8	-2.6641989	-12.467801
1001701201_P19	-10.084984	-0.36540475
1001701201_P20	-23.300684	-6.43653
1001701201_P23	-7.9522133	18.393473
1001701205_A1	-9.157776	-6.7000327
1001701205_A5	-7.730566	5.646679
1001701205_A6	-2.8907516	13.973671
1001701205_A7	19.008928	-5.394467
1001701205_A9	-1.9965593	-10.743654
1001701205_B5	-18.73542	4.0846477
1001701205_B9	-8.15061	15.272517
1001701205_C3	1.3800156	-1.0157369
1001701205_C6	-3.7297816	14.281063
1001701205_C9	10.11485	-5.0552483
1001701205_C11	8.790966	11.022975
1001701205_D2	-16.17553	1.5576727
1001701205_D3	-3.088382	-9.505515
1001701205_D7	-9.699116	-9.1022005
1001701205_D8	17.75827	-4.931568
1001701205_E2	-3.8258476	8.530684
1001701205_E4	8.39181	-11.159146
1001701205_E7	-0.7676771	3.4094095
1001701205_E11	1.4493958	-1.7493861
1001701205_F2	2.2132497	20.240131
1001701205_F8	-26.99333	-5.312575
1001701205_G3	2.5825126	11.235119
1001701205_G11	4.994724	-12.19262
1001701205_H4	19.147085	-3.070497
1001701205_H10	-5.971652	8.393361
1001701205_I4	21.684526	6.0964646
1001701205_I5	-6.4157224	12.8161
1001701205_I6	1.5673515	-18.030771
1001701205_J3	3.7592094	13.12344
1001701205_J6	14.205774	-4.7878575
1001701205_K2	4.855146	12.438762
1001701205_K5	-1.1988245	6.8424053
1001701205_K7	0.16757673	-2.520368
1001701205_K8	1.4776608	-0.8874733
1001701205_K11	-0.28428173	7.7089996
1001701205_L7	12.244594	9.832892
1001701205_L9	-23.51814	-5.481702
1001701205_L11	2.541229	14.79248
1001701205_M2	-6.641565	0.11590604
1001701205_M3	2.6483817	-3.349884
1001701205_M5	-4.5474596	-6.2948003
1001701205_M7	17.549074	-5.1942577
1001701205_M9	-9.397407	2.0625668
1001701205_M10	12.311692	5.846291
1001701205_M11	1.6989163	-4.679478
1001701205_N3	-28.42116	-0.83483267
1001701205_N7	-1.1630727	2.1662025
1001701205_N8	2.6911476	-9.493364
1001701205_N10	2.0629961	11.393175
1001701205_O1	8.233868	13.024231
1001701205_O2	6.1539173	12.311897
1001701205_O9	13.017883	-6.309369
1001701205_O10	4.9870934	13.257189
1001701205_P1	10.339465	-4.7897177
1001701205_P2	1.3672239	11.060375
1001701205_P3	-8.414851	10.6601715
1001701205_P4	-0.7992104	-20.037539
1001701301_A1	-32.396645	-0.10987951
1001701301_A2	9.745591	-4.309348
1001701301_A3	-1.4206985	13.606826
1001701301_A5	-0.12187632	4.430564
1001701301_A7	4.1821876	-5.6259284
1001701301_A8	13.421129	4.169058
1001701301_A23	-20.143227	-1.6269269
1001701301_B2	3.937835	-4.7634115
1001701301_B3	24.571207	-7.8928375
1001701301_B5	15.771208	-4.2872114
1001701301_B6	-6.427904	-12.092128
1001701301_B7	4.0002265	18.676636
1001701301_B8	26.07607	-8.074562
1001701301_B18	-20.50456	-0.8184595
